qd3_hops_yellow_2
Integration time [ms]:  500,00
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1412150E1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 360,62;63544,000;19493,000;    0,000
 360,91;63644,000;20114,000;    0,000
 361,20;63544,000;20008,000;    0,000
 361,49;63644,000;20694,000;    0,000
 361,79;63544,000;20705,000;    0,000
 362,08;63644,000;21141,000;    0,000
 362,37;63544,000;21162,000;    0,000
 362,66;63644,000;20959,000;    0,000
 362,95;63544,000;21384,000;    0,000
 363,25;63644,000;21529,000;    0,000
 363,54;63544,000;21446,000;    0,000
 363,83;63644,000;21732,000;    0,000
 364,12;63544,000;21897,000;    0,000
 364,41;63644,000;21721,000;    0,000
 364,70;63544,000;22250,000;    0,000
 365,00;63644,000;22000,000;    0,000
 365,29;63544,000;22139,000;    0,000
 365,58;63644,000;22063,000;    0,000
 365,87;63544,000;21752,000;    0,000
 366,16;63644,000;21322,000;    0,000
 366,45;63544,000;21847,000;    0,000
 366,75;63644,000;21324,000;    0,000
 367,04;63544,000;21463,000;    0,000
 367,33;63644,000;21349,000;    0,000
 367,62;63544,000;21652,000;    0,000
 367,91;63644,000;21204,000;    0,000
 368,20;63544,000;20775,000;    0,000
 368,50;63644,000;21236,000;    0,000
 368,79;63544,000;20604,000;    0,000
 369,08;63644,000;20361,000;    0,000
 369,37;63544,000;20559,000;    0,000
 369,66;63644,000;20310,000;    0,000
 369,95;63544,000;20243,000;    0,000
 370,24;63644,000;20353,000;    0,000
 370,53;63544,000;19478,000;    0,000
 370,83;63644,000;19258,000;    0,000
 371,12;63544,000;18966,000;    0,000
 371,41;63644,000;18842,000;    0,000
 371,70;63544,000;18296,000;    0,000
 371,99;63644,000;18008,000;    0,000
 372,28;63544,000;17604,000;    0,000
 372,57;63644,000;17814,000;    0,000
 372,86;63544,000;16670,000;    0,000
 373,16;63644,000;16681,000;    0,000
 373,45;63544,000;16549,000;    0,000
 373,74;63644,000;15829,000;    0,000
 374,03;63544,000;16024,000;    0,000
 374,32;63644,000;16248,000;    0,000
 374,61;63544,000;15984,000;    0,000
 374,90;63644,000;15269,000;    0,000
 375,19;63544,000;14620,000;    0,000
 375,48;63644,000;14773,000;    0,000
 375,78;63544,000;14703,000;    0,000
 376,07;63644,000;14255,000;    0,000
 376,36;63544,000;14048,000;    0,000
 376,65;63644,000;14089,000;    0,000
 376,94;63544,000;13344,000;    0,000
 377,23;63644,000;13638,000;    0,000
 377,52;63544,000;13325,000;    0,000
 377,81;63644,000;12717,000;    0,000
 378,10;63544,000;13206,000;    0,000
 378,39;63644,000;13371,000;    0,000
 378,68;63544,000;12866,000;    0,000
 378,97;63644,000;12559,000;    0,000
 379,26;63544,000;11454,000;    0,000
 379,56;63644,000;11636,000;    0,000
 379,85;63544,000;12247,000;    0,000
 380,14;63644,000;11310,000;    0,000
 380,43;63544,000;11443,000;    0,000
 380,72;63644,000;12082,000;    0,000
 381,01;63544,000;11839,000;    0,000
 381,30;63644,000;11308,000;    0,000
